Fibrosis,Interaction,scores
ABCB4,CHD9,904
ABCB4,HELZ2,905
ABCB4,NR1H4,710
ABCB4,SMARCD3,900
ABCB4,NCOA1,900
ABCB4,RXRA,923
ABCB4,FABP1,918
ABCB4,TGS1,902
ABCB4,CARM1,908
ABCB4,CREBBP,918
ABCB4,TBL1X,904
ABCB4,PPARA,935
ABCB4,ABCB1,820
ABCB4,SLC10A1,739
ABCB4,MED1,903
ABCB4,ATP8B1,800
ABCB4,NCOA2,900
ABCB4,NCOA6,900
ABCB4,TBL1XR1,903
ACE,ATP12A,707
ACE,MDK,871
ACE,NR3C2,811
ACE,CYP11B2,729
ACE,DPP4,709
ACE,KLK4,740
ACE,AGT,996
ACE,CRP,798
ACE,ALB,838
ACE,ATP4A,706
ACE,KNG1,950
ACE,DCP2,776
ACE,INS,841
ACE,SERPINE1,854
ACE,SLC15A1,726
ACE,CMA1,800
ACE,NOS3,878
ACE,AGTR1,928
ACE,CTGF,736
ACE,EDN1,792
ACE,APOE,717
ACE,MTHFR,716
ACE,BDKRB2,792
ACE,ENSG00000264813,804
ACE,ATP6AP2,718
ACE,REN,959
ACE,MME,843
ACE,VEGFA,798
ACE,NPPB,723
ACE,AGTR2,926
ACE2,DPP4,942
ACE2,AGT,991
ACE2,MEP1B,880
ACE2,PRCP,924
ACE2,APLN,730
ACE2,INS,705
ACE2,MEP1A,915
ACE2,SLC15A1,735
ACE2,CMA1,750
ACE2,AGTR1,904
ACE2,XPNPEP2,876
ACE2,ATP6AP2,700
ACE2,REN,950
ACE2,MME,950
ACE2,ADAM17,707
ACE2,AGTR2,858
ACKR3,GNB4,926
ACKR3,TAS2R42,900
ACKR3,GNG5,912
ACKR3,TAS2R19,900
ACKR3,OPRM1,903
ACKR3,NPY5R,900
ACKR3,C3AR1,904
ACKR3,ADRA2A,907
ACKR3,CCR4,908
ACKR3,GPR31,900
ACKR3,PDYN,900
ACKR3,HTR1A,900
ACKR3,GNAI2,914
ACKR3,AGT,901
ACKR3,SSTR5,901
ACKR3,C3,900
ACKR3,NMUR2,900
ACKR3,CXCL12,995
ACKR3,CD164,709
ACKR3,DRD4,902
ACKR3,CXCL3,937
ACKR3,OXER1,900
ACKR3,TAS2R10,900
ACKR3,CCL4L1,934
ACKR3,NPY1R,902
ACKR3,OPRK1,904
ACKR3,CCL5,945
ACKR3,TAS2R30,900
ACKR3,SSTR2,900
ACKR3,CHRM4,909
ACKR3,CCR1,917
ACKR3,RXFP4,901
ACKR3,CXCL11,982
ACKR3,GPSM3,900
ACKR3,GNG11,915
ACKR3,PECAM1,717
ACKR3,TAS2R40,900
ACKR3,GNB2,918
ACKR3,SSTR4,902
ACKR3,KNG1,902
ACKR3,ADRA2C,909
ACKR3,GRM3,905
ACKR3,NPBWR1,900
ACKR3,CCL21,944
ACKR3,NMS,900
ACKR3,LPAR3,900
ACKR3,NPY4R,902
ACKR3,APLN,907
ACKR3,NMUR1,900
ACKR3,SST,918
ACKR3,INSL5,900
ACKR3,CXCR1,911
ACKR3,NPY,913
ACKR3,GAL,903
ACKR3,MTNR1B,900
ACKR3,GNG7,914
ACKR3,CXCL6,927
ACKR3,CXCR5,915
ACKR3,HTR1F,900
ACKR3,CCR2,913
ACKR3,CCL25,939
ACKR3,HCAR3,901
ACKR3,TAS2R50,900
ACKR3,POMC,903
ACKR3,RXFP3,900
ACKR3,TAS2R4,900
ACKR3,HCAR2,903
ACKR3,GRM6,901
ACKR3,CCL1,926
ACKR3,SAA1,903
ACKR3,CHRM2,904
ACKR3,ADCY8,904
ACKR3,MTNR1A,900
ACKR3,ATP5O,835
ACKR3,ATP5B,713
ACKR3,GNB3,917
ACKR3,ADCY9,903
ACKR3,CXCL8,969
ACKR3,GALR2,900
ACKR3,GNB5,915
ACKR3,TAS2R39,900
ACKR3,FPR2,903
ACKR3,PYY,900
ACKR3,HTR1D,904
ACKR3,GPR18,900
ACKR3,ADCY3,904
ACKR3,S1PR4,900
ACKR3,CCR5,914
ACKR3,TAS2R31,900
ACKR3,CCR9,912
ACKR3,CCL16,915
ACKR3,TAS2R3,900
ACKR3,CCL27,934
ACKR3,CXCL2,939
ACKR3,S1PR5,904
ACKR3,GNG12,912
ACKR3,P2RY14,901
ACKR3,MCHR1,900
ACKR3,CCL13,919
ACKR3,CXCL13,940
ACKR3,PTGDR2,900
ACKR3,TAS2R1,900
ACKR3,CXCL10,946
ACKR3,LPAR1,912
ACKR3,PPBP,935
ACKR3,GNAI3,914
ACKR3,SSTR1,901
ACKR3,CCR10,908
ACKR3,CXCR3,915
ACKR3,PTGER3,903
ACKR3,GNGT2,912
ACKR3,GPSM2,900
ACKR3,P2RY13,903
ACKR3,TAS2R5,900
ACKR3,GNGT1,912
ACKR3,SSTR3,901
ACKR3,OXGR1,901
ACKR3,ADCY4,904
ACKR3,GNG8,912
ACKR3,TAS2R7,900
ACKR3,CCR3,914
ACKR3,ADORA1,903
ACKR3,BDKRB1,901
ACKR3,GNAT3,914
ACKR3,SAG,723
ACKR3,C5AR1,905
ACKR3,GABBR1,910
ACKR3,GRM4,906
ACKR3,HRH4,905
ACKR3,PMCH,901
ACKR3,ADRA2B,908
ACKR3,GPER1,901
ACKR3,MCHR2,900
ACKR3,HRH3,915
ACKR3,CXCL5,936
ACKR3,CX3CR1,911
ACKR3,AKT1,704
ACKR3,ADCY5,904
ACKR3,CASR,904
ACKR3,APLNR,908
ACKR3,NPBWR2,900
ACKR3,GALR3,900
ACKR3,GNG13,913
ACKR3,CX3CL1,944
ACKR3,CCL19,937
ACKR3,ADCY1,904
ACKR3,PNOC,900
ACKR3,GRM8,902
ACKR3,CXCR2,911
ACKR3,TAS1R2,901
ACKR3,TAS2R20,900
ACKR3,APP,903
ACKR3,CXCL1,942
ACKR3,C5,901
ACKR3,S1PR2,907
ACKR3,GNG4,915
ACKR3,TAS2R13,900
ACKR3,GPR17,901
ACKR3,HTR1B,900
ACKR3,LPAR5,903
ACKR3,SUCNR1,902
ACKR3,S1PR1,912
ACKR3,CNR2,907
ACKR3,TAS2R9,900
ACKR3,GNG2,912
ACKR3,CCL4,933
ACKR3,GRM7,902
ACKR3,BDKRB2,905
ACKR3,DRD2,908
ACKR3,GABBR2,904
ACKR3,NPB,900
ACKR3,CCR8,910
ACKR3,TAS1R3,901
ACKR3,GPR37L1,900
ACKR3,P2RY4,900
ACKR3,PPY,900
ACKR3,ADCY6,904
ACKR3,PCP2,900
ACKR3,TAS1R1,901
ACKR3,LPAR2,924
ACKR3,VEGFA,719
ACKR3,HEBP1,900
ACKR3,TAS2R16,900
ACKR3,TAS2R41,900
ACKR3,TAS2R38,900
ACKR3,TAS2R8,900
ACKR3,GALR1,900
ACKR3,NMU,901
ACKR3,OPRL1,905
ACKR3,ADORA3,904
ACKR3,ADCY7,904
ACKR3,GPSM1,900
ACKR3,HCAR1,908
ACKR3,GNB1,918
ACKR3,CXCL9,962
ACKR3,FPR1,903
ACKR3,DRD3,903
ACKR3,GPR37,904
ACKR3,CXCR4,919
ACKR3,GPR55,900
ACKR3,CXCL16,941
ACKR3,HTR5A,900
ACKR3,CCL20,940
ACKR3,CCR7,913
ACKR3,P2RY12,900
ACKR3,TAS2R43,900
ACKR3,GNG10,912
ACKR3,TAS2R14,900
ACKR3,GPR183,901
ACKR3,NPW,900
ACKR3,PENK,900
ACKR3,CCL28,908
ACKR3,NPY2R,900
ACKR3,ATP5A1,847
ACKR3,RLN3,900
ACKR3,OPRD1,904
ACKR3,CXCR6,917
ACKR3,HTR1E,900
ACKR3,PF4,939
ACKR3,PSAP,900
ACKR3,ADCY2,904
ACKR3,S1PR3,912
ACKR3,GNAI1,914
ACKR3,FPR3,900
ACKR3,TAS2R46,900
ACKR3,AGTR2,900
ACKR3,CNR1,904
ACKR3,CORT,900
ACKR3,TAS2R60,900
ACKR3,GNG3,912
ACKR3,ANXA1,904
ACKR3,GRM2,902
ACTA2,CALM2,766
ACTA2,TGFB1,718
ACTA2,CNN2,886
ACTA2,SORBS1,906
ACTA2,TPM4,985
ACTA2,DCTN5,715
ACTA2,MKL1,860
ACTA2,CFL1,894
ACTA2,CALD1,961
ACTA2,CAPZB,707
ACTA2,SORBS3,902
ACTA2,ACTG2,932
ACTA2,TMSB4X,862
ACTA2,MYH6,706
ACTA2,NOTCH4,915
ACTA2,TAGLN,854
ACTA2,MAML3,900
ACTA2,MAMLD1,900
ACTA2,COL1A1,790
ACTA2,LMOD1,966
ACTA2,MYL10,943
ACTA2,MYL7,953
ACTA2,MYL1,759
ACTA2,MYH9,768
ACTA2,TPM3,983
ACTA2,ITGA1,920
ACTA2,WIPF1,802
ACTA2,ACTC1,812
ACTA2,MYLPF,985
ACTA2,MYLK,973
ACTA2,WAS,846
ACTA2,WASL,822
ACTA2,PHACTR2,719
ACTA2,TPM2,986
ACTA2,TPM1,991
ACTA2,MYL5,945
ACTA2,MTSS1,745
ACTA2,TLN1,919
ACTA2,MAML1,900
ACTA2,MYL12B,963
ACTA2,NOTCH1,941
ACTA2,CREBBP,917
ACTA2,ACTN2,751
ACTA2,FSCN1,883
ACTA2,MYH11,993
ACTA2,MAML2,900
ACTA2,PXN,937
ACTA2,MYL6,941
ACTA2,DCTN2,709
ACTA2,TWF2,768
ACTA2,MYOCD,776
ACTA2,PFN1,814
ACTA2,EP300,922
ACTA2,PPP1CC,757
ACTA2,WASF2,774
ACTA2,MYL9,975
ACTA2,MYL6B,939
ACTA2,GSN,889
ACTA2,NOTCH2,915
ACTA2,CAP1,773
ACTA2,MYL12A,949
ACTA2,KAT2A,919
ACTA2,CNN1,798
ACTA2,MYH10,846
ACTA2,KAT2B,920
ACTA2,CALM1,769
ACTA2,PHACTR1,814
ACTA2,VCL,970
ACTA2,ITGB5,920
ACTA2,CALM3,767
ACTA2,SNW1,906
ACTA2,RBPJ,908
ACTA2,COL3A1,857
ACTA2,CAP2,839
ACVR1B,INHBC,927
ACVR1B,FKBP1B,733
ACVR1B,SMAD3,984
ACVR1B,SMAD2,994
ACVR1B,CFC1,949
ACVR1B,NODAL,967
ACVR1B,BAMBI,915
ACVR1B,SMURF1,724
ACVR1B,SMAD6,784
ACVR1B,DAND5,920
ACVR1B,LEFTY1,966
ACVR1B,GRASP,711
ACVR1B,SMAD4,986
ACVR1B,INHBA,976
ACVR1B,ACVR1,887
ACVR1B,ACVR2B,984
ACVR1B,BMP4,893
ACVR1B,INHBB,979
ACVR1B,TGFB3,831
ACVR1B,INHBE,885
ACVR1B,LEFTY2,966
ACVR1B,ACVR2A,983
ACVR1B,TDGF1,983
ACVR1B,BMP2,869
ACVR1B,SMAD7,875
ACVR1B,FKBP1A,863
ACVR1B,FKBP1C,733
ACVR1B,ACVR1C,905
ACVR1B,SMAD5,719
ACVR1B,GDF11,751
ACVR1B,CER1,926
ACVR1B,MSTN,812
ACVR1B,ALK,707
ADAM17,ZNF274,901
ADAM17,EREG,957
ADAM17,AFP,838
ADAM17,DLL1,958
ADAM17,ECD,900
ADAM17,TIMP3,993
ADAM17,TGFA,733
ADAM17,PRKCB,900
ADAM17,PSEN1,705
ADAM17,TRAF6,923
ADAM17,TNF,979
ADAM17,TNFRSF1A,766
ADAM17,NRG2,913
ADAM17,IHH,905
ADAM17,EGFR,846
ADAM17,DLL4,950
ADAM17,NRG3,913
ADAM17,UBB,902
ADAM17,HBEGF,966
ADAM17,ACE2,707
ADAM17,MAD2L1,748
ADAM17,RHBDF2,892
ADAM17,NOTCH1,984
ADAM17,ADAM10,863
ADAM17,EGF,979
ADAM17,BACE1,794
ADAM17,SORT1,917
ADAM17,RPS27A,900
ADAM17,TIMP1,715
ADAM17,NOTCH4,894
ADAM17,TNFRSF1B,970
ADAM17,UBC,902
ADAM17,BTC,955
ADAM17,NRG1,949
ADAM17,PRKCA,904
ADAM17,DHH,901
ADAM17,AKT1,735
ADAM17,NOTCH2,919
ADAM17,ERBB2,950
ADAM17,APP,835
ADAM17,NFIC,901
ADAM17,BDNF,923
ADAM17,AREG,813
ADAM17,GHR,913
ADAM17,JAG1,977
ADAM17,ERBB4,971
ADAM17,SHH,917
ADAM17,NOTCH3,911
ADAM17,VEGFA,817
ADAM17,UBA52,900
ADAM17,NGFR,921
ADAM17,NCSTN,783
ADAM17,NRG4,910
ADAM17,JAG2,958
ADAM17,COL17A1,926
ADAM17,MAD2L2,744
ADAM17,FHL2,739
ADIPOQ,FGF21,839
ADIPOQ,MED24,900
ADIPOQ,NR3C1,940
ADIPOQ,PRKAG2,910
ADIPOQ,LIPE,737
ADIPOQ,GPT,701
ADIPOQ,RARRES2,726
ADIPOQ,ABCA1,718
ADIPOQ,MED30,900
ADIPOQ,AGT,700
ADIPOQ,CRP,952
ADIPOQ,TNF,918
ADIPOQ,HELZ2,903
ADIPOQ,MED15,900
ADIPOQ,MED16,900
ADIPOQ,MED25,900
ADIPOQ,IGF1,849
ADIPOQ,MED11,900
ADIPOQ,SLC2A4,815
ADIPOQ,HDAC3,918
ADIPOQ,PRKAB2,910
ADIPOQ,IL1B,754
ADIPOQ,MED28,902
ADIPOQ,CCNC,901
ADIPOQ,INS,967
ADIPOQ,SERPINE1,792
ADIPOQ,MED23,901
ADIPOQ,CFD,882
ADIPOQ,MED20,900
ADIPOQ,RBP4,793
ADIPOQ,HBEGF,850
ADIPOQ,FABP4,989
ADIPOQ,NCOR1,927
ADIPOQ,CREBBP,921
ADIPOQ,SREBF1,844
ADIPOQ,NCOA3,904
ADIPOQ,MED14,903
ADIPOQ,CXCL8,793
ADIPOQ,EBF1,916
ADIPOQ,IL10,827
ADIPOQ,PNPLA2,790
ADIPOQ,MED29,900
ADIPOQ,PPARGC1A,975
ADIPOQ,CFAP97,818
ADIPOQ,AHSG,795
ADIPOQ,MED9,900
ADIPOQ,ICAM1,794
ADIPOQ,CDH13,910
ADIPOQ,PLIN1,782
ADIPOQ,MED6,900
ADIPOQ,SOCS3,710
ADIPOQ,ADIPOR2,994
ADIPOQ,MED22,900
ADIPOQ,TLR4,733
ADIPOQ,GHRL,833
ADIPOQ,RETN,939
ADIPOQ,APOB,716
ADIPOQ,MED13L,900
ADIPOQ,ADIPOR1,995
ADIPOQ,IRS1,720
ADIPOQ,SERPINA12,703
ADIPOQ,SHBG,708
ADIPOQ,EP300,922
ADIPOQ,CDK8,900
ADIPOQ,NCOA1,911
ADIPOQ,EDN1,735
ADIPOQ,RXRA,922
ADIPOQ,MED18,900
ADIPOQ,GCG,824
ADIPOQ,MED19,900
ADIPOQ,PTPN1,702
ADIPOQ,FOXO1,792
ADIPOQ,MED21,900
ADIPOQ,HMOX1,754
ADIPOQ,AKT1,815
ADIPOQ,MED1,919
ADIPOQ,VCAM1,823
ADIPOQ,CEBPA,977
ADIPOQ,MED8,900
ADIPOQ,TSC2,733
ADIPOQ,CCL2,788
ADIPOQ,NAMPT,860
ADIPOQ,LEPR,839
ADIPOQ,LPL,840
ADIPOQ,CEBPB,946
ADIPOQ,CDK19,900
ADIPOQ,PTGS2,768
ADIPOQ,FAM120B,901
ADIPOQ,MED27,901
ADIPOQ,SIRT1,863
ADIPOQ,UCP1,872
ADIPOQ,NCOA2,907
ADIPOQ,MED7,900
ADIPOQ,APPL1,776
ADIPOQ,MED13,904
ADIPOQ,MED10,900
ADIPOQ,MED4,902
ADIPOQ,MED26,900
ADIPOQ,UCP2,840
ADIPOQ,THRAP3,903
ADIPOQ,MED17,900
ADIPOQ,IL6,946
ADIPOQ,MED12,900
ADIPOQ,MLXIPL,947
ADIPOQ,ITLN1,710
ADIPOQ,APOC3,707
ADIPOQ,IL18,754
ADIPOQ,NCOR2,923
ADIPOQ,BGLAP,827
ADIPOQ,PPARG,994
ADIPOQ,LEP,975
ADIPOQ,PRKAA2,923
ADIPOQ,CNR1,720
ADIPOQ,MED31,900
ADIPOR1,PRKAG2,907
ADIPOR1,PRKAB2,907
ADIPOR1,INS,847
ADIPOR1,C1QTNF9,732
ADIPOR1,CDH13,708
ADIPOR1,ADIPOR2,902
ADIPOR1,ADIPOQ,995
ADIPOR1,APPL1,982
ADIPOR1,MLXIPL,911
ADIPOR1,LEP,710
ADIPOR1,PRKAA2,906
ADIPOR2,PRKAG2,907
ADIPOR2,PRKAB2,915
ADIPOR2,INS,832
ADIPOR2,CDH13,709
ADIPOR2,ADIPOR1,902
ADIPOR2,ADIPOQ,994
ADIPOR2,APPL1,978
ADIPOR2,MLXIPL,921
ADIPOR2,PPARG,736
ADIPOR2,LEP,817
ADIPOR2,PRKAA2,922
ADM,GPR83,901
ADM,PTGER2,901
ADM,ADCYAP1,932
ADM,GHRH,940
ADM,GNB4,900
ADM,PTH1R,916
ADM,ADCYAP1R1,909
ADM,RAMP2,991
ADM,CALCA,987
ADM,GNG5,900
ADM,DRD1,901
ADM,GPR25,902
ADM,GNGT2,900
ADM,TAAR2,900
ADM,GPR39,900
ADM,GNGT1,900
ADM,ADCY4,900
ADM,GNG8,900
ADM,TAAR9,900
ADM,HTR7,910
ADM,DRD5,902
ADM,VIPR1,944
ADM,ADRB1,917
ADM,GHRHR,906
ADM,TAAR6,900
ADM,EDN1,888
ADM,CALCR,965
ADM,PTGIR,916
ADM,CALCRL,996
ADM,CGA,900
ADM,GCG,937
ADM,GPR27,902
ADM,PTGDR,900
ADM,HTR4,900
ADM,TSHB,900
ADM,PTH2,923
ADM,ADCY5,900
ADM,AVP,963
ADM,VIP,955
ADM,HTR6,900
ADM,PTH,927
ADM,GPHB5,900
ADM,GNG13,900
ADM,ADM2,983
ADM,RAMP3,988
ADM,ADCY1,900
ADM,P2RY11,900
ADM,GPR20,900
ADM,PTHLH,923
ADM,GNAS,900
ADM,ADRB2,917
ADM,MC2R,906
ADM,GPR45,900
ADM,NPSR1,905
ADM,GNG4,900
ADM,GNG11,904
ADM,SCTR,916
ADM,CRHR1,921
ADM,GPHA2,900
ADM,MC4R,906
ADM,GNB2,900
ADM,NPS,948
ADM,MC3R,911
ADM,GNG2,900
ADM,FSHB,900
ADM,PTGER4,901
ADM,PTH2R,912
ADM,AVPR2,904
ADM,CRHR2,913
ADM,ADCY6,900
ADM,HRH2,902
ADM,SCT,926
ADM,GNG7,900
ADM,VIPR2,935
ADM,VEGFA,769
ADM,RAMP1,989
ADM,POMC,944
ADM,ADRB3,912
ADM,FSHR,901
ADM,GPR176,903
ADM,ADCY7,900
ADM,ADORA2B,915
ADM,GIPR,904
ADM,GNB1,900
ADM,IL6,713
ADM,MC5R,907
ADM,ADCY8,900
ADM,GLP1R,912
ADM,GPR182,800
ADM,RLN2,905
ADM,GNB3,900
ADM,GCGR,921
ADM,CALCB,974
ADM,ADCY9,900
ADM,GNG10,900
ADM,MC1R,902
ADM,GNB5,900
ADM,TSHR,900
ADM,GPBAR1,900
ADM,RXFP2,904
ADM,TAAR1,900
ADM,LHB,900
ADM,GPR150,900
ADM,ADCY3,900
ADM,GPR15,900
ADM,RLN3,907
ADM,LHCGR,904
ADM,GPR32,900
ADM,ADCY2,900
ADM,GPR84,906
ADM,RXFP1,917
ADM,GIP,908
ADM,CRH,927
ADM,IAPP,983
ADM,GNG12,903
ADM,INSL3,903
ADM,GNG3,900
ADM,CFH,819
ADM,TAAR5,900
ADM,CRCP,715
ADM,TAAR8,900
ADM,GLP2R,900
ADRB2,LDLRAP1,900
ADRB2,PTGER2,930
ADRB2,GHRH,921
ADRB2,GNB4,915
ADRB2,SYNJ2,911
ADRB2,ADCYAP1R1,921
ADRB2,HIP1R,900
ADRB2,FNBP1L,902
ADRB2,WASL,900
ADRB2,GNG5,912
ADRB2,DRD1,911
ADRB2,GNAL,703
ADRB2,TAAR2,902
ADRB2,SLC9A3R1,956
ADRB2,AP2B1,917
ADRB2,SYT2,900
ADRB2,ITSN2,904
ADRB2,PRKACG,917
ADRB2,CD4,903
ADRB2,SYNJ1,903
ADRB2,AMPH,900
ADRB2,UBQLN2,902
ADRB2,HTR7,921
ADRB2,ARPC5,900
ADRB2,TACR1,914
ADRB2,ADRB1,930
ADRB2,GHRHR,910
ADRB2,TAAR6,902
ADRB2,DAB2,900
ADRB2,REPS2,900
ADRB2,CALCRL,926
ADRB2,AKAP5,769
ADRB2,STAM,900
ADRB2,CFTR,965
ADRB2,GNAI2,911
ADRB2,SNX18,905
ADRB2,AGT,938
ADRB2,CXCL12,926
ADRB2,GNA15,752
ADRB2,TSHB,919
ADRB2,ARF6,906
ADRB2,PTH2,904
ADRB2,AVP,943
ADRB2,PTH,958
ADRB2,DVL2,922
ADRB2,BIN1,900
ADRB2,PTHLH,906
ADRB2,LRP2,903
ADRB2,CBL,900
ADRB2,GAK,900
ADRB2,GPR45,900
ADRB2,NECAP1,900
ADRB2,GNG11,912
ADRB2,CCL11,925
ADRB2,MC4R,914
ADRB2,EGFR,937
ADRB2,GNB2,915
ADRB2,EPS15,902
ADRB2,IL1B,768
ADRB2,TF,900
ADRB2,CHRM1,913
ADRB2,PIK3C2A,907
ADRB2,AVPR2,915
ADRB2,LDLR,919
ADRB2,CRHR2,930
ADRB2,AP2M1,900
ADRB2,SYT1,911
ADRB2,NPY,854
ADRB2,ITSN1,903
ADRB2,UBB,928
ADRB2,GNG7,923
ADRB2,F2,910
ADRB2,ARPC1A,904
ADRB2,CLTA,901
ADRB2,HGS,921
ADRB2,POMC,955
ADRB2,VAMP3,900
ADRB2,DNM2,910
ADRB2,FSHR,923
ADRB2,EPN1,900
ADRB2,ADORA2B,913
ADRB2,AAK1,900
ADRB2,M6PR,900
ADRB2,FZD4,922
ADRB2,CD3D,900
ADRB2,CHRM2,919
ADRB2,ADCY8,926
ADRB2,GLP1R,917
ADRB2,EGF,928
ADRB2,RLN2,904
ADRB2,GNB3,961
ADRB2,GCGR,923
ADRB2,USP33,939
ADRB2,ADCY9,954
ADRB2,MC1R,908
ADRB2,GNB5,923
ADRB2,SGIP1,902
ADRB2,GPBAR1,911
ADRB2,SNAP91,907
ADRB2,SH3GL3,903
ADRB2,RXFP2,909
ADRB2,GAPVD1,901
ADRB2,RPS27A,901
ADRB2,ADCY3,929
ADRB2,CCR5,912
ADRB2,SLC2A8,900
ADRB2,LHCGR,929
ADRB2,PRKAR1A,927
ADRB2,ARPC2,900
ADRB2,HSPA8,906
ADRB2,GPR84,901
ADRB2,AGFG1,916
ADRB2,RXFP1,907
ADRB2,CRH,949
ADRB2,IAPP,907
ADRB2,GNG12,913
ADRB2,ARPC4,900
ADRB2,TAAR8,904
ADRB2,AGTR1,920
ADRB2,GPR83,903
ADRB2,ADCYAP1,913
ADRB2,SH3GL2,915
ADRB2,GHRL,713
ADRB2,APOB,943
ADRB2,PTH1R,928
ADRB2,GNAI3,841
ADRB2,PTGER1,949
ADRB2,RAMP2,906
ADRB2,ADRBK2,967
ADRB2,AP2A1,900
ADRB2,CALCA,947
ADRB2,PRKAR2A,929
ADRB2,ADRA1B,910
ADRB2,GPR25,900
ADRB2,RAB5B,900
ADRB2,GNGT2,914
ADRB2,SYT8,900
ADRB2,ADM,917
ADRB2,PRKAR2B,923
ADRB2,GPR39,901
ADRB2,CD3G,900
ADRB2,UBC,935
ADRB2,PRKACB,921
ADRB2,HTR2C,916
ADRB2,GNGT1,912
ADRB2,EPS15L1,902
ADRB2,PACSIN1,900
ADRB2,ADCY4,925
ADRB2,GNG8,912
ADRB2,CCR3,908
ADRB2,SAG,752
ADRB2,STAM2,900
ADRB2,TAAR9,901
ADRB2,DRD5,913
ADRB2,VIPR1,902
ADRB2,IL7R,902
ADRB2,EDN1,958
ADRB2,CALCR,916
ADRB2,PTGIR,919
ADRB2,STON1,900
ADRB2,RAB5C,900
ADRB2,CGA,902
ADRB2,GCG,945
ADRB2,SYT9,901
ADRB2,GPR27,900
ADRB2,PTGDR,919
ADRB2,HTR4,938
ADRB2,EZR,919
ADRB2,FNBP1,900
ADRB2,SLC18A3,913
ADRB2,ADCY5,939
ADRB2,VIP,945
ADRB2,HTR6,903
ADRB2,GPHB5,900
ADRB2,GNG13,912
ADRB2,ERBB2,876
ADRB2,ADM2,910
ADRB2,RAMP3,910
ADRB2,ADCY1,929
ADRB2,P2RY11,907
ADRB2,GPR20,900
ADRB2,GNAS,969
ADRB2,TRIP10,900
ADRB2,SH3KBP1,904
ADRB2,SYT11,900
ADRB2,MC2R,907
ADRB2,REPS1,900
ADRB2,NPSR1,910
ADRB2,GNG4,912
ADRB2,SCTR,921
ADRB2,CRHR1,942
ADRB2,IGF2R,903
ADRB2,FCHO1,900
ADRB2,GPHA2,900
ADRB2,TFRC,917
ADRB2,NPS,945
ADRB2,MC3R,908
ADRB2,GNG2,991
ADRB2,ADRBK1,981
ADRB2,AP2S1,901
ADRB2,CCL4,914
ADRB2,CLTC,930
ADRB2,FSHB,900
ADRB2,SNX9,903
ADRB2,PTGER4,916
ADRB2,PTH2R,917
ADRB2,PICALM,907
ADRB2,VAMP7,900
ADRB2,WNT5A,918
ADRB2,RAB5A,915
ADRB2,GRK6,962
ADRB2,DNM3,901
ADRB2,OCRL,900
ADRB2,VAMP8,900
ADRB2,ADCY6,940
ADRB2,HRH2,907
ADRB2,SCT,931
ADRB2,VIPR2,917
ADRB2,RAMP1,912
ADRB2,UBA52,900
ADRB2,ADRB3,939
ADRB2,AP2A2,904
ADRB2,GPR176,900
ADRB2,ADCY7,928
ADRB2,GIPR,907
ADRB2,GNB1,991
ADRB2,STON2,900
ADRB2,FPR1,911
ADRB2,MC5R,904
ADRB2,HIP1,900
ADRB2,GRK5,975
ADRB2,PACSIN3,900
ADRB2,CXCR4,916
ADRB2,EPN2,900
ADRB2,VAMP4,900
ADRB2,CYTH2,900
ADRB2,ACTR3,900
ADRB2,PRKAR1B,914
ADRB2,KIAA0319,900
ADRB2,SH3GL1,903
ADRB2,USP20,945
ADRB2,CALCB,900
ADRB2,ACTR2,900
ADRB2,GNG10,912
ADRB2,TSHR,933
ADRB2,ARRB2,981
ADRB2,TAAR1,909
ADRB2,LHB,900
ADRB2,GPR150,900
ADRB2,GPR15,900
ADRB2,RLN3,904
ADRB2,GPR32,900
ADRB2,ARRB1,995
ADRB2,ADCY2,926
ADRB2,DNM1,906
ADRB2,P2RY2,929
ADRB2,VAMP2,901
ADRB2,GNAI1,858
ADRB2,FCHO2,900
ADRB2,CLTB,900
ADRB2,TGOLN2,900
ADRB2,GIP,902
ADRB2,AGTR2,918
ADRB2,CTTN,903
ADRB2,NECAP2,900
ADRB2,PACSIN2,900
ADRB2,INSL3,900
ADRB2,ARPC3,900
ADRB2,GNG3,912
ADRB2,TAAR5,906
ADRB2,CLTCL1,900
ADRB2,SCARB2,902
ADRB2,GLP2R,907
ADRB2,DNAJC6,900
AGT,ANPEP,922
AGT,PLCB2,905
AGT,GNB4,901
AGT,CCK,920
AGT,GZMH,909
AGT,TAS2R42,900
AGT,KISS1R,902
AGT,CYP11B2,719
AGT,GNG5,900
AGT,TRH,923
AGT,TGFB1,702
AGT,SLC9A3R1,905
AGT,TAS2R19,900
AGT,OPRM1,901
AGT,NPY5R,904
AGT,PROK2,902
AGT,CTSD,938
AGT,PRKACG,900
AGT,C3AR1,907
AGT,ADRA2A,918
AGT,CHD9,903
AGT,CCR4,904
AGT,TACR1,900
AGT,GPR31,901
AGT,PDYN,906
AGT,HTR1A,906
AGT,SRC,946
AGT,GPR143,900
AGT,MAP2K2,913
AGT,XCL1,900
AGT,CFTR,916
AGT,GNAI2,901
AGT,HRH1,900
AGT,SSTR5,901
AGT,CCKBR,903
AGT,C3,936
AGT,NMUR2,903
AGT,CXCL12,907
AGT,GNA15,920
AGT,HELZ2,901
AGT,DRD4,906
AGT,CXCL3,900
AGT,OXER1,901
AGT,AVP,957
AGT,TAS2R10,900
AGT,CCL4L1,900
AGT,ALB,706
AGT,NPY1R,903
AGT,PTAFR,901
AGT,OPRK1,901
